Millis,Red,IR
118091,58977,102287
118148,58974,102308
118193,58976,102281
118244,58976,102282
118295,58969,102273
118348,58953,102278
118397,58949,102270
118448,58952,102253
118508,58951,102259
118550,58937,102264
118601,58945,102272
118652,58914,102269
118708,58926,102258
118754,58938,102259
118805,58942,102262
118867,58921,102258
118908,58925,102276
118959,58928,102240
119010,58891,102239
119067,58911,102248
119112,58900,102232
119163,58913,102251
119214,58901,102234
119267,58893,102235
119316,58890,102238
119367,58890,102232
119428,58895,102220
119469,58879,102225
119520,58888,102218
119571,58852,102211
119628,58879,102205
119673,58864,102212
119724,58891,102229
119775,58854,102205
119827,58874,102221
119877,58872,102228
119928,58874,102222
119988,58890,102216
120030,58894,102222
120082,58851,102236
120133,58848,102234
120188,58883,102243
120235,58879,102226
120286,58843,102234
120337,58858,102233
120388,58871,102248
120439,58873,102218
120490,58826,102225
120549,58828,102223
120592,58856,102218
120643,58821,102234
120694,58835,102217
120749,58813,102208
120796,58830,102205
120847,58800,102206
120908,58823,102205
120949,58794,102203
121000,58819,102208
121051,58802,102204
121109,58794,102207
121153,58794,102194
121204,58820,102207
121255,58796,102197
121309,58788,102200
121358,58774,102198
121409,58794,102191
121468,58794,102188
121511,58771,102184
121562,58766,102196
121613,58769,102191
121668,58766,102192
121715,58774,102199
121766,58766,102199
121817,58761,102186
121868,58764,102213
121919,58754,102160
121970,58748,102180
122029,58729,102169
122072,58742,102175
122123,58745,102207
122174,58751,102180
122228,58738,102178
122276,58736,102178
122327,58725,102172
122389,58727,102157
122429,58732,102173
122480,58738,102173
122531,58717,102148
122589,58687,102143
122634,58700,102131
122685,58709,102160
122736,58704,102156
122789,58697,102160
122838,58695,102160
122889,58698,102161
122948,58716,102176
122991,58720,102177
123042,58728,102167
123093,58692,102174
123148,58721,102178
123195,58715,102186
123246,58726,102179
123297,58716,102176
123348,58705,102184
123399,58700,102141
123450,58718,102185
123508,58719,102188
123552,58718,102176
123603,58699,102196
123654,58710,102177
123708,58704,102168
123756,58700,102172
123808,58703,102164
123869,58697,102172
123910,58690,102163
123961,58679,102149
124012,58693,102151
124069,58680,102146
124114,58682,102164
124165,58681,102157
124216,58674,102161
124269,58690,102170
124318,58675,102173
124369,58658,102168
124428,58673,102169
124471,58696,102187
124522,58673,102172
124573,58652,102153
124629,58670,102152
124675,58683,102168
124726,58653,102160
124777,58654,102160
124829,58681,102156
124879,58669,102151
124930,58640,102145
124988,58659,102145
125033,58646,102154
125084,58670,102189
125135,58624,102167
125190,58622,102157
125237,58623,102160
125288,58621,102152
125349,58648,102164
125390,58598,102145
125441,58600,102151
125492,58624,102171
125549,58629,102175
125594,58600,102169
125645,58645,102162
125696,58604,102164
125749,58635,102159
125798,58592,102152
125849,58597,102154
125909,58607,102152
125951,58619,102157
126002,58571,102145
126053,58578,102148
126109,58602,102158
126155,58599,102147
126206,58570,102150
126258,58585,102143
126309,58591,102149
126360,58591,102132
126411,58580,102142
126470,58567,102136
126513,58559,102144
126564,58571,102153
126615,58541,102138
126670,58547,102158
126717,58550,102148
126768,58562,102150
126829,58562,102145
126870,58538,102121
126921,58543,102120
126972,58569,102148
127029,58541,102145
127074,58531,102170
127125,58527,102133
127176,58524,102139
127230,58521,102137
127278,58514,102142
127329,58514,102127
127389,58515,102134
127431,58513,102132
127483,58511,102139
127534,58507,102123
127589,58511,102122
127636,58515,102145
127687,58514,102149
127738,58503,102129
127789,58514,102139
127840,58521,102131
127891,58496,102141
127950,58513,102133
127993,58512,102137
128044,58505,102146
128095,58504,102142
128150,58500,102149
128197,58503,102136
128248,58509,102142
128310,58495,102139
128350,58490,102123
128401,58498,102124
128452,58498,102128
128510,58471,102133
128554,58475,102159
128605,58489,102127
128656,58485,102120
128710,58472,102134
128759,58472,102131
128810,58486,102129
128869,58474,102113
128912,58466,102113
128963,58456,102116
129014,58465,102118
129069,58452,102127
129116,58460,102104
129167,58447,102119
129218,58443,102110
129269,58455,102107
129320,58447,102107
129371,58456,102107
129430,58448,102107
129473,58443,102103
129524,58447,102104
129575,58432,102105
129629,58432,102111
129677,58434,102096
129728,58442,102091
129790,58441,102095
129830,58434,102076
129881,58429,102097
129933,58447,102089
129990,58434,102081
130035,58448,102129
130086,58419,102080
130137,58419,102085
130190,58431,102076
130239,58417,102082
130290,58393,102092
130351,58388,102082
130392,58417,102086
130443,58381,102088
130494,58371,102089
130551,58382,102093
130596,58426,102097
130647,58377,102101
130698,58401,102102
130750,58401,102077
130800,58397,102060
130851,58377,102079
130911,58371,102090
130953,58368,102086
131004,58404,102080
131055,58377,102072
131111,58368,102082
131158,58356,102068
131209,58370,102077
131270,58385,102074
131311,58364,102066
131362,58355,102071
131413,58359,102072
131470,58363,102066
131515,58345,102069
131566,58329,102039
131617,58357,102054
131670,58346,102060
131719,58320,102061
131770,58337,102051
131831,58312,102055
131872,58330,102035
131923,58318,102065
131974,58327,102050
132030,58336,102058
132076,58332,102059
132127,58308,102043
132178,58319,102047
132230,58320,102048
132280,58311,102033
132331,58300,102041
132391,58301,102037
132434,58299,102041
132485,58305,102051
132536,58298,102041
132591,58295,102029
132638,58286,102026
132689,58290,102035
132750,58281,102044
132791,58270,102018
132842,58266,102028
132893,58260,102032
132950,58261,102034
132995,58254,102045
133046,58279,102027
133097,58271,102032
133150,58257,102024
133199,58260,102028
133250,58249,102035
133310,58248,102025
133352,58248,102017
133403,58254,102033
133454,58246,102022
133510,58237,102024
133556,58232,102002
133608,58234,102003
133659,58243,102018
133710,58234,102014
133761,58228,102024
133812,58245,102015
133871,58227,101999
133914,58242,102032
133965,58236,102024
134016,58237,102023
134071,58243,102023
134118,58234,102025
134169,58216,102015
134230,58214,102013
134271,58239,101994
134322,58228,102024
134373,58232,102013
134431,58255,102001
134475,58254,102025
134526,58232,102026
134577,58221,102003
134631,58242,102027
134679,58244,102030
134730,58198,102027
134792,58210,102026
134833,58245,102028
134884,58229,102015
134935,58208,102029
134992,58179,102021
135037,58184,101998
135088,58228,102011
135139,58223,102024
135192,58187,102020
135241,58182,102045
135292,58200,102038
135351,58216,102017
135394,58170,102023
