Millis,Red,IR
1383398,61964,105422
1383459,62220,105555
1383504,62362,106146
1383557,62806,105669
1383618,62703,106195
1383664,63311,106406
1383717,63990,107031
1383779,64402,107387
1383823,64913,107855
1383876,65528,107721
1383939,64469,106690
1383982,63243,105951
1384036,61880,104823
1384098,61064,104293
1384142,60545,104002
1384195,60111,103721
1384248,59426,103432
1384301,59177,103367
1384354,58892,103312
1384407,58549,103297
1384461,58477,103319
1384514,58377,103306
1384567,58208,103257
1384620,58181,103244
1384673,58129,103177
1384726,58133,103002
1384779,58232,102936
1384832,58382,102921
1384886,58797,103014
1384940,59333,103276
1384992,59624,103502
1385045,60719,104165
1385099,60796,104649
1385151,61598,105026
1385204,61621,105419
1385259,62629,106267
1385311,63836,107001
1385364,65039,107815
1385420,65364,108050
1385470,65653,108073
1385523,65386,107856
1385580,65338,107897
1385629,65451,107933
1385682,65965,108324
1385739,65943,108094
1385789,65013,106937
1385842,62998,105823
1385900,62424,105176
1385948,61410,104413
1386001,60250,103818
1386060,59910,103699
1386107,59634,103587
1386161,59093,103446
1386219,58917,103446
1386267,58801,103489
1386320,58611,103471
1386380,58526,103457
1386426,58459,103403
1386479,58394,103323
1386540,58363,103276
1386586,58355,103246
1386639,58362,103136
1386699,58408,103056
1386745,58523,102980
1386798,59762,103694
1386859,60409,104089
1386904,61453,105199
1386957,62514,106126
1387020,63419,106601
1387064,63649,106608
1387117,64731,107567
1387179,65450,108243
1387223,65896,108230
1387276,65940,108260
1387339,65864,108122
1387382,65724,108097
1387436,65797,108203
1387489,66038,108342
1387542,66022,108295
1387595,65978,105277
1387648,66054,108400
1387701,66181,108469
1387754,66265,108494
1387807,66283,108493
1387861,66270,108479
1387914,66275,108490
1387967,66292,108518
1388020,66310,108507
1388073,66310,108504
1388126,66275,108477
1388179,66273,108447
1388232,66269,108479
1388286,66275,108460
1388340,66266,108437
1388392,66228,108418
1388445,66241,108434
1388499,66235,108420
1388551,66233,108411
1388604,66244,108425
1388659,66232,108410
1388711,66196,108376
1388764,66200,108403
1388820,66252,108413
1388870,66191,108398
1388923,66179,108402
1388980,66233,108399
1389029,66213,108348
1389082,66141,108351
1389141,66135,108365
1389189,66123,108373
1389242,66161,108374
1389300,66187,108376
1389348,66139,108338
1389401,66094,108318
1389460,66134,108337
1389507,66156,108337
1389561,66098,108286
1389621,66069,108294
1389667,66082,108301
1389720,66058,108248
1389780,66061,108268
1389826,66046,108249
1389879,66028,108238
1389940,66049,108253
1389986,66054,108252
1390039,65980,108202
1390101,65990,108218
1390145,66027,108225
1390198,65972,108197
1390261,65980,108208
1390304,65996,108193
1390357,65957,108165
1390420,65953,108164
1390464,65949,108170
1390517,65947,108155
1390570,65889,108123
1390623,65917,108138
1390676,65934,108145
1390729,65910,108094
1390782,65891,108098
1390836,65901,108119
1390889,65886,108086
1390942,65877,108083
1390995,65881,108084
1391048,65876,108078
1391101,65855,108032
1391154,65830,108063
1391207,65841,108039
1391261,65812,108019
1391314,65798,108021
1391367,65822,108027
1391421,65798,107992
1391473,65767,107985
1391526,65792,108014
1391581,65784,108024
1391632,65743,107977
1391686,65778,108011
1391740,65791,108001
1391792,65735,107946
1391845,65732,107940
1391901,65727,107947
