Millis,Red,IR
589924,86169,112592
589976,86173,112576
590034,86152,112578
590080,86169,112570
590132,86155,112561
590194,86157,112557
590237,86150,112544
590289,86160,112522
590341,86157,112503
590394,86151,112511
590445,86163,112494
590497,86169,112485
590554,86151,112491
590601,86161,112467
590653,86168,112461
590713,86173,112473
590757,86165,112477
590809,86171,112474
590862,86162,112450
590914,86167,112420
590966,86156,112428
591018,86151,112400
591073,86165,112399
591122,86167,112380
591174,86165,112383
591233,86167,112368
591278,86171,112395
591330,86170,112347
591382,86171,112337
591434,86172,112340
591487,86178,112335
591539,86182,112327
591594,86177,112320
591643,86177,112326
591695,86188,112313
591754,86194,112297
591799,86181,112272
591851,86182,112285
591903,86155,112255
591955,86174,112269
592007,86194,112265
592059,86164,112241
592113,86165,112250
592164,86198,112268
592216,86150,112241
592275,86143,112243
592320,86198,112240
592372,86160,112238
592435,86143,112236
592476,86151,112227
592528,86157,112231
592580,86168,112235
592634,86193,112214
592684,86158,112203
592737,86169,112201
592794,86182,112215
592841,86161,112222
592893,86175,112209
592954,86171,112198
592997,86174,112191
593049,86173,112222
593101,86175,112196
593155,86169,112185
593205,86180,112183
593257,86167,112168
593315,86148,112141
593362,86148,112153
593414,86158,112134
593475,86161,112123
593518,86164,112119
593570,86154,112098
593622,86152,112113
593675,86150,112118
593726,86153,112101
593778,86161,112131
593834,86160,112133
593882,86150,112127
593934,86162,112126
593994,86160,112138
594039,86153,112130
594091,86146,112128
594143,86148,112139
594195,86161,112125
594247,86160,112121
594299,86139,112108
594354,86147,112114
594403,86151,112112
594455,86154,112101
594515,86157,112107
594559,86139,112122
594612,86140,112093
594664,86143,112097
594716,86146,112096
594768,86136,112106
594820,86132,112091
594875,86156,112097
594924,86157,112103
594976,86125,112062
595034,86144,112067
595080,86158,112074
595132,86151,112093
595184,86099,112098
595237,86117,112099
595289,86150,112091
595341,86101,112092
595396,86100,112089
595445,86131,112105
595497,86102,112093
595556,86092,112099
595601,86097,112097
595653,86107,112080
595715,86112,112072
595757,86110,112072
595809,86090,112072
595862,86097,112069
595915,86106,112073
595966,86086,112053
596018,86092,112065
596075,86089,112058
596122,86094,112062
596174,86079,112072
596235,86073,112073
596278,86075,112060
596330,86080,112073
596382,86080,112059
596436,86069,112055
596487,86071,112064
596539,86051,112053
596596,86045,112041
596643,86057,112031
596695,86029,112048
596756,86032,112057
596799,86050,112067
596851,86037,112025
596903,86053,112058
596955,86041,112076
597007,86034,112036
597059,86031,112054
597115,86036,112048
597164,86028,112055
597216,86022,112049
597275,86025,112043
597320,86026,112069
597372,86029,112040
597424,86001,112037
597476,86004,112027
597528,86004,112041
597580,85993,112036
597636,86011,112040
597684,85991,112047
597737,85982,112027
597796,86011,112018
597841,85982,112053
597893,85981,112025
597945,85969,112021
597997,85997,112029
598049,85987,112037
598101,85947,112035
598157,85938,112038
598205,85980,112041
598257,85936,112037
598317,85928,112041
598362,85962,112015
598414,85958,112033
598466,85920,112027
598518,85927,112029
598570,85949,112039
598622,85921,112029
598677,85911,112037
598726,85913,112037
598778,85916,112039
598836,85919,112030
598882,85897,112043
598934,85879,112025
598996,85900,112034
599039,85903,112035
599091,85886,112044
599143,85893,112053
599196,85888,112048
599247,85891,112023
599299,85890,112010
599356,85876,112015
599403,85864,112010
599455,85851,112024
599517,85838,112023
599559,85838,112030
599612,85848,112020
599664,85836,112020
599717,85813,112033
599768,85829,112021
599820,85811,112021
599877,85811,112023
599924,85798,112004
599976,85793,112020
600036,85810,112003
600080,85792,112023
600132,85783,111998
600184,85806,112000
600237,85774,112032
600289,85776,111994
600341,85757,111998
600396,85764,111996
600445,85760,112005
600497,85752,112001
600556,85743,112004
600601,85741,112004
600653,85747,112020
600705,85741,111988
600757,85752,111971
600809,85726,111992
600862,85711,111981
600917,85737,111996
600966,85708,111995
601018,85697,111978
601077,85729,111960
601122,85716,111962
601174,85712,111981
601226,85651,111987
601278,85652,111977
601330,85691,111977
601382,85652,111977
601438,85647,111976
601487,85672,111979
601539,85649,111970
601598,85632,111978
601643,85653,111951
601695,85656,111959
601758,85634,111964
601799,85606,111956
601851,85613,111973
601903,85616,111960
601957,85618,111957
602007,85595,111937
602059,85598,111958
602117,85593,111965
602164,85578,111951
602216,85581,111953
602277,85581,111948
602320,85579,111940
602372,85573,111969
602424,85568,111927
602477,85566,111946
602528,85557,111935
602580,85575,111959
602638,85554,111967
602684,85547,111944
602737,85513,111945
602798,85514,111947
602841,85520,111949
602893,85527,111924
602945,85524,111931
602998,85503,111935
603049,85509,111928
603101,85508,111923
603158,85485,111917
603205,85491,111914
603257,85477,111905
603317,85476,111911
603362,85482,111901
603414,85488,111910
603466,85489,111908
603518,85470,111909
603570,85483,111903
603622,85448,111888
603677,85462,111876
603726,85448,111892
603778,85459,111882
603838,85485,111939
603882,85460,111972
603934,85449,111900
603987,85622,112767
604039,85719,113416
604091,85892,114003
604143,86304,114741
604198,86519,114920
604247,86641,115017
604299,86605,114792
604358,86529,114569
604403,86390,114314
604455,86253,114079
604507,85947,113222
604559,85862,112809
604612,85819,112378
604664,85816,112460
604719,85809,112716
604768,85823,112445
604820,85750,112178
604879,85792,112262
604924,85859,112514
604976,85933,112617
605039,85999,113172
605080,86088,113763
605132,86291,114403
605184,86754,115175
605238,86937,115406
605289,87075,115546
605341,87203,115569
605398,87176,115429
605445,87062,115194
605497,86785,114586
605558,86559,114269
605601,86529,114090
605653,86423,113731
605705,86239,112940
605759,86161,112777
605809,86192,112827
605862,86242,112979
605919,86175,112735
605966,86117,112576
606018,86245,112819
606079,86285,112911
606122,86309,113051
606174,86416,113602
606226,86725,114780
606279,86966,115330
606330,87261,115802
606382,87730,116496
606438,87936,116710
606487,88043,116667
606539,87856,116195
606598,87605,115619
606643,87330,115152
606695,87062,114508
606747,86808,113790
606800,86685,113337
606851,86680,113347
606903,86614,113175
606959,86708,113287
607007,86685,113290
607059,86666,113153
607119,86713,113210
607164,86709,113314
607216,86748,113371
607268,86891,113998
607320,86982,114448
607372,87115,115115
607424,87655,116288
607479,87989,116837
607528,88374,117428
607580,88910,117813
607640,88942,117772
607684,88933,117640
607737,88820,117278
607789,87968,115941
607841,87536,115077
607893,87352,114791
607945,87200,113890
608000,87130,113578
608049,87207,113606
608101,87393,114190
608160,87363,113746
608205,87248,113537
608257,87247,113413
608319,87286,113584
608362,87357,113856
608414,87353,113813
608466,87424,114368
608519,87547,114985
608570,87640,115768
608622,88276,117016
608679,88660,117519
608726,88949,117760
608778,89066,117584
608840,88847,117072
608882,88448,116465
608934,88056,115725
608987,87656,114758
609040,87530,114055
609091,87489,113918
609143,87566,114109
609200,87585,113886
609247,87447,113592
609299,87475,113550
609360,87503,113732
609403,87597,113939
609455,87596,113881
609507,87666,114457
609559,87722,114892
609612,87758,115390
609664,88204,116616
609719,88553,117250
609768,89011,117786
