Millis,Red,IR
301066,102195,122617
301119,102168,122600
301171,102162,122557
301226,102137,122466
301275,101993,122405
301327,101879,122319
301386,101825,122291
301431,101825,122287
301483,101781,122263
301535,101760,122222
301587,101821,122317
301639,102007,122426
301691,102065,122376
301747,101999,122297
301796,101874,122237
301848,101674,122016
301907,101527,121993
301952,101615,121992
302004,101509,121878
302056,101420,121856
302108,101377,121742
302160,101243,121663
302212,101204,121654
302266,101133,121600
302316,101108,121579
302369,101030,121516
302426,100975,121458
302473,100932,121446
302525,100986,121462
302586,100944,121421
302629,100908,121395
302681,100882,121385
302733,100886,121359
302787,100880,121333
302837,100860,121281
302889,100883,121301
302947,100893,121291
302994,100903,121289
303046,100873,121264
303107,100886,121276
303150,100879,121243
303202,100869,121196
303254,100760,121129
303307,100748,121156
303358,100848,121235
303410,101047,121311
303466,101026,121309
303514,101042,121274
303566,101033,121229
303626,100987,121189
303671,100957,121179
303723,100975,121174
303775,100717,120951
303827,100651,120890
303879,100616,120884
303931,100406,120710
303986,100279,120606
304035,100211,120595
304087,100169,120540
304147,100153,120497
304191,100029,120436
304244,99965,120411
304295,99970,120398
304346,99948,120407
304397,99947,120398
304448,99856,120303
304507,99807,120246
304550,99774,120226
304601,99721,120192
304652,99673,120150
304707,99721,120127
304754,99676,120134
304805,99634,120059
304866,99602,120038
304907,99585,120001
304958,99539,120009
305009,99510,119980
305067,99529,119961
305111,99519,119951
305162,99441,119940
305213,99320,119845
305267,99294,119822
305315,99279,119803
305366,99139,119759
305428,99067,119674
305469,99024,119634
305520,98933,119551
305571,98769,119467
305628,98753,119465
305673,98755,119415
305724,98799,119429
305775,98651,119355
305828,98587,119333
305877,98566,119359
305928,98543,119298
305987,98532,119261
306030,98482,119263
306081,98506,119272
306132,98527,119277
306187,98500,119252
306234,98436,119238
306285,98441,119225
306347,98456,119255
306388,98467,119266
306438,98481,119283
306489,98488,119241
306547,98401,119181
306591,98339,119154
306642,98305,119119
306694,98305,119141
306747,98358,119171
306796,98381,119176
306847,98353,119171
306908,98358,119168
306949,98336,119157
307000,98324,119164
307051,98294,119110
307108,98254,119085
307153,98247,119086
307204,98199,119074
307255,98216,119061
307308,98169,119048
307357,98165,119084
307408,98144,119038
307467,98151,119039
307510,98118,119021
307561,98074,118965
307612,97990,118932
307668,97943,118905
307714,97931,118888
307765,97968,118903
307827,97929,118903
307868,97921,118894
307919,97885,118873
307970,97886,118876
308027,97870,118881
308072,97885,118882
308123,97882,118854
308174,97858,118872
308227,97855,118862
308276,97838,118844
308327,97821,118837
308388,97811,118863
308429,97847,118866
308480,97896,118900
308531,97831,118815
308588,97793,118819
308633,97795,118790
308684,97824,118840
308735,97954,118934
308787,97969,118918
308837,97943,118927
308888,97935,118880
308948,97902,118878
308990,97902,118871
309041,97879,118868
309092,97866,118844
309148,97829,118819
309195,97805,118811
309246,97792,118799
309307,97771,118803
309348,97773,118786
309399,97704,118733
309450,97605,118673
309507,97579,118679
309552,97573,118661
309603,97592,118642
309654,97528,118607
309707,97494,118611
309756,97499,118608
309807,97453,118559
309868,97422,118549
309909,97409,118555
309960,97431,118568
310011,97335,118546
310069,97355,118533
310113,97356,118516
310164,97346,118679
310215,97252,118474
310269,97266,118486
310317,97272,118488
310369,97261,118498
310428,97291,118488
310471,97264,118472
310522,97256,118463
310573,97240,118464
310628,97245,118477
310675,97258,118450
310726,97199,118418
310789,97157,118415
310828,97158,118436
310879,97152,118415
310930,97174,118414
310989,97156,118423
311032,97191,118444
311083,97189,118446
311134,97258,118480
311188,97337,118508
311236,97381,118559
311287,97429,118584
311349,97459,118606
311389,97485,118585
311440,97393,118508
311491,97273,118472
311549,97268,118481
311594,97303,118466
311645,97253,118454
311696,97232,118464
311749,97254,118481
311798,97261,118483
311849,97297,118471
311908,97255,118411
311951,97163,118385
312002,97218,118456
312053,97411,118561
312108,97418,118524
312155,97368,118510
312206,97344,118510
312257,97396,118500
312308,97354,118513
312359,97367,118510
312410,97378,118505
312468,97360,118486
312512,97344,118513
312563,97364,118542
312614,97395,118624
312668,97634,118722
312716,97696,118708
312767,97542,118622
312829,97528,118616
312870,97548,118619
312921,97523,118568
312972,97432,118557
313029,97448,118570
313074,97449,118537
313125,97425,118519
313176,97383,118496
313229,97326,118478
313278,97267,118433
313329,97299,118488
313388,97324,118467
