Millis,Red,IR
320281,98705,123610
320332,98661,123585
320391,98620,123550
320434,98602,123559
320485,98605,123588
320536,98666,123605
320590,98660,123589
320638,98636,123571
320689,98542,123534
320751,98530,123529
320791,98548,123541
320842,98548,123542
320893,98530,123550
320951,98508,123521
320996,98450,123468
321047,98414,123550
321098,98371,123433
321151,98382,123470
321200,98439,123518
321251,98486,123499
321310,98454,123498
321353,98418,123474
321404,98425,123489
321455,98450,123509
321510,98456,123510
321557,98447,123506
321608,98448,123474
321671,98331,123408
321710,98267,123389
321761,98212,123359
321812,98181,123308
321870,98297,123630
321914,98650,123353
321965,97955,123238
322016,98075,123253
322070,97994,123266
322118,98145,123405
322170,98254,123409
322231,98243,123398
322272,98207,123351
322323,98140,123306
322374,97974,123230
322431,97980,123262
322476,98024,123262
322527,98032,123281
322578,97924,123192
322631,97872,123208
322680,97937,123281
322731,98010,123263
322790,97946,123203
322833,97855,123168
322884,97823,123159
322935,97802,123135
322991,97736,123093
323037,97696,123076
323088,97777,123146
323150,97809,123168
323191,97788,123147
323241,97777,123140
323292,97644,123033
323350,97577,123011
323395,97553,123011
323446,97543,123009
323497,97599,123044
323550,97568,122984
323599,97475,122930
323650,97292,122847
323711,97310,122879
323752,97367,122911
323803,97376,122912
323854,97312,122846
323911,97260,122839
323956,97229,122800
324007,97207,122794
324058,97208,122795
324111,97162,122793
324160,97176,122813
324211,97040,122689
324271,96973,122652
324313,96934,122639
324364,96935,122642
324415,96971,122682
324471,96995,122709
324517,97013,122696
324568,96942,122652
324630,96897,122632
324671,96878,122609
324722,96885,122645
324773,96879,122602
324830,96788,122541
324875,96724,122512
324926,96701,122500
324977,96752,122558
325030,96767,122545
325079,96753,122537
325130,96644,122494
325191,96641,122480
325232,96657,122482
325283,96666,122517
325334,96675,122508
325391,96656,122453
325436,96558,122396
325487,96453,122324
325538,96406,122328
325590,96440,122368
325640,96488,122396
325691,96449,122357
325751,96403,122324
325793,96372,122310
325845,96346,122301
325896,96315,122274
325951,96315,122283
325998,96314,122285
326049,96190,122175
326110,96119,122139
326151,96063,122093
326202,96065,122136
326253,96135,122175
326310,96150,122180
326355,96105,122151
326406,96070,122117
326457,96039,122122
326510,96070,122134
326559,96056,122118
326610,95993,122068
326670,95973,122076
326712,95996,122064
326763,95935,122029
326814,95747,121899
326870,95639,121791
326916,95451,121711
326967,95333,121692
327018,95384,121714
327070,95382,121706
327121,95378,121688
327172,95318,121682
327231,95321,121688
327274,95325,121684
327325,95300,121694
327376,95341,121707
327431,95363,121714
327478,95318,121649
327529,95139,121553
327590,95148,121577
