Millis,Red,IR
-1,-1,-1
15652,90682,113469
15671,90718,113464
15702,90673,113464
15721,90696,113469
15752,90674,113482
15771,90717,113482
15802,90678,113472
15821,90719,113461
15852,90710,113458
15871,90732,113445
15902,90690,113454
15921,90724,113443
15952,90700,113460
15971,90726,113474
16002,90720,113469
16021,90730,113482
16052,90723,113468
16073,90694,113468
16102,90703,113470
16123,90707,113467
16152,90687,113448
16173,90671,113441
16202,90664,113435
16223,90653,113427
16252,90670,113421
16273,90630,113416
16302,90643,113404
16323,90635,113425
16352,90674,113434
16373,90637,113416
16402,90666,113429
16423,90653,113418
16452,90688,113411
16473,90656,113396
16502,90683,113379
16523,90673,113373
16552,90693,113375
16573,90675,113385
16602,90683,113405
16623,90671,113420
16652,90671,113415
16673,90668,113403
16703,90656,113440
16722,90642,113435
16753,90633,113431
16772,90618,113415
16803,90592,113412
16822,90590,113401
16853,90568,113399
16872,90602,113403
16903,90575,113390
16922,90611,113398
16953,90580,113397
16972,90620,113407
17003,90583,113403
17022,90611,113409
17053,90567,113395
17072,90590,113393
17103,90567,113380
17122,90613,113386
17153,90595,113380
17172,90613,113372
17203,90581,113379
17222,90611,113389
17253,90600,113385
17272,90630,113398
17303,90604,113407
17322,90625,113407
17353,90619,113413
17374,90592,113394
17403,90564,113380
17424,90564,113361
17453,90562,113354
17474,90539,113358
17503,90563,113349
17524,90542,113345
17553,90554,113338
17574,90522,113332
17603,90546,113340
17624,90519,113343
17653,90567,113345
17674,90527,113337
17703,90536,113320
17724,90496,113304
17753,90498,113283
17774,90472,113268
17803,90507,113272
17824,90489,113273
17853,90547,113283
17874,90532,113275
17903,90562,113304
17924,90548,113325
17953,90564,113316
17974,90561,113319
18004,90540,113348
18023,90497,113337
18054,90483,113314
18073,90466,113322
18104,90439,113298
18123,90444,113305
18154,90407,113291
18173,90443,113299
18204,90449,113318
18223,90492,113313
18254,90482,113316
18273,90513,113311
18304,90476,113311
18323,90489,113306
18354,90437,113292
18373,90450,113289
18404,90446,113292
18423,90485,113299
18454,90476,113304
18473,90530,113296
18504,90487,113297
18523,90513,113280
18554,90459,113276
18573,90488,113283
18604,90475,113283
18623,90465,113273
18654,90448,113271
18673,90431,113264
18704,90434,113271
18725,90432,113271
18754,90431,113271
18775,90427,113258
18804,90440,113257
18825,90419,113248
18854,90442,113250
18875,90427,113256
18904,90462,113257
18925,90445,113253
18954,90474,113250
18975,90405,113234
19004,90431,113239
19025,90393,113230
19054,90441,113234
19075,90412,113229
19104,90449,113201
19125,90405,113184
19154,90418,113167
19175,90373,113153
19204,90402,113169
